"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","103/778","479/18986",0.215031315240084,5.24753798348101,19.4626060638982,1.36643271703749e-45,4.63717575700086e-43,3.96853903943424e-43,"63967/1031/83540/25896/51514/8317/4998/991/163786/6491/5087/1063/55143/9928/348654/580/57405/6241/699/51143/6599/86/993/2177/11073/4085/84142/1062/4869/995/9319/54908/891/7272/26271/8899/23376/9656/988/10926/2146/22976/54443/27085/9134/5569/7465/6240/3014/113130/3619/11130/983/1763/144455/9735/9700/11331/1017/8914/55835/221150/7517/9787/5888/79968/701/641/55055/90381/57082/55159/5347/81620/29117/9212/80174/332/146956/83990/91607/83903/5889/79915/672/6909/990/220134/10403/81610/5933/1869/11065/6790/994/84444/147841/6929/6597/51512/8318/6598/29980",103
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","101/778","467/18986",0.21627408993576,5.27786615876651,19.3482122978066,6.14350282047694e-45,1.9111413357367e-42,1.63557290001294e-42,"63967/1031/83540/51514/8317/4998/991/128239/163786/10657/6491/1104/1163/5087/1063/55143/9928/348654/580/57405/6241/699/51143/6599/86/993/11073/4085/890/84142/10460/1062/6502/995/9319/54908/891/7272/26271/8899/10926/2146/54443/27085/9134/5569/9833/23137/1164/7465/6240/113130/3619/11130/983/144455/9735/9700/11331/1017/2305/5426/55835/221150/7517/9787/1033/9133/701/641/55055/90381/57082/55159/5347/899/29117/9212/80174/332/91607/83903/996/5889/79915/672/990/220134/10403/5933/1869/11065/6790/994/27338/147841/6929/6597/51512/6598/29980",101
"GO:0006310","GO:0006310","DNA recombination","85/778","352/18986",0.241477272727273,5.89291452442159,19.1535770049904,9.35939895183496e-42,2.68758740670768e-39,2.30006281933758e-39,"8317/79000/142/9156/23028/8438/6421/64710/348654/580/4175/2956/7520/8607/165918/86/2177/10721/11073/7155/4292/4171/3148/7468/55345/6502/9319/253714/4172/7516/63979/22976/4176/27336/55086/4841/2187/3149/25788/9401/4796/84296/4173/23137/80010/2237/3014/54780/7334/55010/10635/8914/10445/3146/328/7517/57697/5888/641/55159/5347/2521/51659/6117/3838/29893/146956/83990/5889/55135/708/79915/672/7153/51444/23347/84515/7515/3276/29128/6929/10856/2547/8318/4174",85
"GO:0051983","GO:0051983","regulation of chromosome segregation","55/778","135/18986",0.407407407407407,9.94220698847948,21.5530324520823,1.03770295858193e-40,2.76696081741883e-38,2.36799133781667e-38,"83540/11004/991/3192/1063/55143/348654/57405/699/23397/51143/6599/86/10051/4085/64151/10460/1062/9319/54908/891/7272/26271/8899/54892/157313/23137/23310/3619/11130/983/4288/9735/9700/9918/221150/7517/9787/701/55055/57082/5347/29117/9212/332/83903/996/990/220134/10403/11065/147841/6597/29781/6598",55
"GO:0007051","GO:0007051","spindle organization","64/778","204/18986",0.313725490196078,7.65603104995211,19.7571129062917,4.70893487481431e-39,1.17189692584546e-36,1.00292051544291e-36,"83540/4751/79000/29899/991/259266/163786/6491/1104/84722/3192/55143/3925/57405/10274/56992/79598/4292/84142/10460/1062/79441/891/64946/7272/26271/203068/3833/7430/8243/24137/3619/3832/9126/9700/29127/440145/79866/55835/221150/9787/9133/9493/90417/9055/5347/9212/10615/3837/332/7283/220134/10403/115106/55125/4605/22974/6790/284403/93323/23354/79187/29128/23636",64
"GO:0000725","GO:0000725","recombinational repair","62/778","194/18986",0.319587628865979,7.799088331169,19.6756470479274,2.14959691626387e-38,4.93375738273883e-36,4.22235641056646e-36,"8317/79000/142/23028/8438/6421/64710/348654/4175/7520/8607/86/10721/11073/4171/55345/6502/253714/4172/7516/63979/4176/27336/55086/2187/25788/9401/4796/84296/4173/23137/80010/2237/3014/54780/7334/55010/10635/8914/7517/57697/5888/641/55159/5347/2521/51659/6117/5889/55135/708/672/51444/23347/84515/7515/3276/29128/10856/2547/8318/4174",62
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","83/778","368/18986",0.22554347826087,5.50407259416564,18.0354405331114,2.24682227448594e-38,4.93375738273883e-36,4.22235641056646e-36,"63967/1031/83540/51514/8317/4998/991/163786/6491/5087/1063/55143/9928/348654/580/57405/6241/699/51143/6599/86/993/11073/4085/84142/1062/995/9319/54908/891/7272/26271/8899/2146/54443/27085/9134/5569/7465/6240/113130/3619/11130/983/144455/9735/9700/11331/1017/55835/221150/7517/9787/701/641/55055/90381/57082/55159/5347/29117/9212/80174/332/91607/83903/5889/79915/672/990/220134/10403/5933/1869/11065/6790/994/147841/6929/6597/51512/6598/29980",83
"GO:0051054","GO:0051054","positive regulation of DNA metabolic process","73/778","295/18986",0.247457627118644,6.0388566946974,18.0297922809973,1.11135005047523e-36,2.30481652134668e-34,1.97248386151597e-34,"7398/4751/1660/8317/142/11124/2736/10575/10574/6599/8607/165918/86/5984/993/7155/4292/890/7468/84142/3184/8467/6502/6950/4216/908/3082/5982/10926/22976/3181/2187/1736/25792/7465/3014/79733/983/1763/10576/7334/144455/3178/1017/10635/8914/10445/2305/1663/5985/5983/3146/11177/3320/5888/81620/65057/29117/63922/2521/9212/80174/55135/79915/672/23347/5111/7515/3276/10155/10856/6597/6598",73
"GO:0090068","GO:0090068","positive regulation of cell cycle process","70/778","274/18986",0.255474452554745,6.2344960876663,18.0407269499871,3.6401761899755e-36,7.15198827219923e-34,6.12073946624689e-34,"51514/8317/29899/991/163786/6491/5087/3192/55143/9928/348654/6241/699/23397/51143/1894/993/10051/4085/64151/10733/4869/995/891/26271/54892/10926/2146/27085/9134/23137/2237/6240/23310/113130/3619/79733/983/9585/144455/9700/9918/11331/10635/1663/29127/11113/55835/221150/7517/9787/9493/57082/9212/80174/10615/332/5889/79915/6909/990/220134/10403/81610/11065/6790/994/23636/29781/5902",70
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","59/778","188/18986",0.313829787234043,7.65857627304053,18.9656817096701,4.49563329130202e-36,8.39109953821522e-34,7.18118265215875e-34,"8317/79000/142/23028/8438/6421/64710/348654/4175/8607/86/10721/11073/4171/6502/253714/4172/7516/63979/4176/27336/55086/2187/25788/9401/4796/84296/4173/23137/80010/2237/3014/54780/7334/55010/10635/8914/7517/57697/5888/641/55159/5347/2521/51659/6117/5889/55135/708/672/51444/23347/84515/7515/3276/29128/10856/8318/4174",59
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","61/778","203/18986",0.300492610837438,7.33310116884268,18.7519286704149,4.84459996401246e-36,8.61185317412309e-34,7.37010570966306e-34,"63967/83540/25896/51514/4998/991/1063/55143/348654/580/57405/699/51143/2177/11073/4085/84142/9319/54908/891/7272/8899/23376/9656/988/3014/3619/11130/983/1763/144455/9735/1017/8914/221150/7517/5888/79968/701/641/55055/90381/57082/55159/5347/81620/9212/332/146956/83990/83903/672/990/220134/10403/1869/84444/147841/51512/8318/29980",61
"GO:1905818","GO:1905818","regulation of chromosome separation","40/778","77/18986",0.519480519480519,12.6771942710246,21.223331814934,3.67603044113254e-35,6.2375552894308e-33,5.33815903772117e-33,"83540/991/1063/55143/348654/57405/699/23397/51143/10051/4085/64151/9319/54908/891/7272/26271/8899/54892/23310/3619/11130/9735/9700/9918/221150/7517/9787/701/55055/57082/5347/9212/332/83903/220134/10403/11065/147841/29781",40
"GO:0051310","GO:0051310","metaphase chromosome alignment","45/778","103/18986",0.436893203883495,10.6617665410438,20.3237400760089,3.95815134915307e-35,6.42425173321236e-33,5.49793562685564e-33,"83540/4751/25936/11004/84722/3192/1063/55143/9928/57405/151648/1894/4292/84142/1062/54908/891/55166/7272/3833/113130/81930/3619/11130/983/9735/29127/221150/55055/90417/57082/3835/81620/9212/10615/3837/332/79003/220134/10403/81929/81610/79980/147841/23636",45
"GO:0010948","GO:0010948","negative regulation of cell cycle process","75/778","329/18986",0.227963525835866,5.56313046467835,17.2585341394111,4.73964756541766e-35,7.37212681737672e-33,6.3091361232643e-33,"63967/83540/25896/51514/4751/4998/991/1063/55143/348654/580/57405/699/51143/2177/11073/4085/84142/8467/4869/9319/54908/891/7272/26271/8899/23376/9656/988/2146/27085/7465/10432/3014/3619/79733/11130/983/1763/144455/9735/9700/1017/8914/221150/7517/5888/79968/701/641/55055/90381/57082/55159/5347/899/81620/29117/9212/332/146956/83990/91607/83903/672/990/220134/10403/5933/1869/84444/147841/51512/8318/29980",75
"GO:2001251","GO:2001251","negative regulation of chromosome organization","44/778","101/18986",0.435643564356436,10.6312708391662,20.0608700623877,2.63297124770414e-34,3.93155266707182e-32,3.36466009969771e-32,"83540/142/991/5394/3192/1063/55143/348654/57405/699/51143/4171/4085/8467/167227/9319/54908/891/7272/26271/8899/3619/11130/9735/9700/3178/10445/221150/7517/3183/701/55055/57082/5347/65057/9212/3021/332/83903/7153/220134/10403/7515/147841",44
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","84/778","425/18986",0.197647058823529,4.82329956146983,16.4776807215478,2.74858137752443e-34,3.94632857011488e-32,3.37730545780836e-32,"4751/29899/991/259266/163786/6125/6491/1104/51154/3192/1063/55143/7840/7072/1058/7520/10274/83939/56992/79598/4292/84142/1062/79441/10733/9662/57472/4869/64946/64105/26271/387103/203068/3833/7430/54443/8243/24137/27161/51116/10432/3619/3832/9126/9735/1017/29127/440145/81624/55835/221150/64745/1965/9787/9133/22995/9493/9055/5347/1874/9738/2521/9212/10615/3837/51081/332/708/79003/672/220134/10403/115106/55125/4605/22974/6790/6209/284403/93323/23354/29128/23636/6193",84
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","54/778","167/18986",0.323353293413174,7.89098409864077,18.488649488021,7.50840165832269e-34,1.03140934091637e-31,8.82689906433707e-32,"83540/4751/29899/991/163786/6491/1104/84722/3192/55143/3925/57405/1058/10274/56992/79598/4085/84142/10460/1062/54908/891/64946/7272/3833/8243/24137/89958/3619/3832/9126/983/9700/29127/440145/79866/55835/9787/9493/9055/5347/9212/3837/332/7283/10403/55125/4605/22974/6790/284403/79187/29128/23636",54
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","75/778","342/18986",0.219298245614035,5.35166644116718,16.7866131323924,7.73626079444369e-34,1.03140934091637e-31,8.82689906433707e-32,"84950/1660/6635/494115/10657/10262/5394/10772/6421/3192/58155/10236/9410/10946/6432/4691/6637/7072/220988/6434/1665/51574/23517/9879/3187/57819/8899/51645/6631/988/6428/3181/27336/27316/8241/10084/5935/4686/9128/3190/28960/84811/10432/3189/3178/6636/55110/55147/10419/22938/3183/58517/55192/23450/9785/6426/50628/9775/708/6427/6632/6629/6628/26528/56949/5725/11100/8570/6626/11338/3191/3609/4670/10212/10291",75
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","74/778","338/18986",0.218934911242604,5.34279977487413,16.6523681389384,2.4161394269975e-33,3.00648282699389e-31,2.57297654769734e-31,"84950/1660/6635/494115/10657/10262/5394/10772/6421/3192/58155/10236/9410/10946/6432/4691/6637/7072/220988/6434/1665/51574/23517/9879/3187/57819/8899/51645/6631/988/6428/3181/27336/27316/8241/10084/5935/4686/9128/3190/28960/84811/10432/3189/3178/6636/55110/55147/10419/22938/3183/58517/55192/23450/9785/6426/50628/9775/708/6427/6632/6629/6628/26528/56949/5725/11100/6626/11338/3191/3609/4670/10212/10291",74
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","74/778","338/18986",0.218934911242604,5.34279977487413,16.6523681389384,2.4161394269975e-33,3.00648282699389e-31,2.57297654769734e-31,"84950/1660/6635/494115/10657/10262/5394/10772/6421/3192/58155/10236/9410/10946/6432/4691/6637/7072/220988/6434/1665/51574/23517/9879/3187/57819/8899/51645/6631/988/6428/3181/27336/27316/8241/10084/5935/4686/9128/3190/28960/84811/10432/3189/3178/6636/55110/55147/10419/22938/3183/58517/55192/23450/9785/6426/50628/9775/708/6427/6632/6629/6628/26528/56949/5725/11100/6626/11338/3191/3609/4670/10212/10291",74
"GO:0051304","GO:0051304","chromosome separation","40/778","84/18986",0.476190476190476,11.6207614151059,20.1653327829043,3.31185537031221e-33,3.98811487012113e-31,3.41306657008406e-31,"83540/991/1063/55143/348654/57405/699/23397/51143/10051/4085/64151/9319/54908/891/7272/26271/8899/54892/23310/3619/11130/9735/9700/9918/221150/7517/9787/701/55055/57082/5347/9212/332/83903/220134/10403/11065/147841/29781",40
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","44/778","108/18986",0.407407407407407,9.94220698847948,19.263827566618,9.01362890169886e-33,1.05149614656381e-30,8.99880385416317e-31,"83540/991/3192/1063/55143/348654/57405/699/51143/6599/86/4085/10460/1062/9319/54908/891/7272/26271/8899/3619/11130/983/9735/9700/221150/7517/9787/701/55055/57082/5347/29117/9212/332/83903/996/990/220134/10403/11065/147841/6597/6598",44
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","42/778","97/18986",0.43298969072165,10.5665067712612,19.5253462422671,1.15929923188866e-32,1.28930295785398e-30,1.10339771232022e-30,"83540/991/1063/55143/348654/57405/699/51143/6599/86/4085/10460/1062/9319/54908/891/7272/26271/8899/3619/11130/9735/9700/221150/7517/9787/701/55055/57082/5347/29117/9212/332/83903/996/990/220134/10403/11065/147841/6597/6598",42
"GO:0006275","GO:0006275","regulation of DNA replication","47/778","127/18986",0.37007874015748,9.0312531627634,18.7711043135605,1.17429146978396e-32,1.28930295785398e-30,1.10339771232022e-30,"1660/8317/11124/64710/2736/4175/8607/86/5984/993/4171/890/8467/26271/51053/4172/5982/10926/4176/4173/157570/54107/25792/7465/79733/9126/983/1763/144455/1017/8914/10445/5985/5983/79596/11177/641/90381/81620/63922/80174/91607/79915/990/5111/10856/4174",47
"GO:0051303","GO:0051303","establishment of chromosome localization","45/778","115/18986",0.391304347826087,9.54923438023919,19.0082731120286,1.44241541513096e-32,1.52193144934927e-30,1.30248338397931e-30,"83540/4751/25936/11004/84722/3192/1063/55143/9928/57405/151648/1894/4292/84142/1062/54908/891/55166/7272/3833/113130/81930/3619/11130/983/9735/29127/221150/55055/90417/57082/3835/81620/9212/10615/3837/332/79003/220134/10403/81929/81610/79980/147841/23636",45
"GO:0007052","GO:0007052","mitotic spindle organization","48/778","134/18986",0.358208955223881,8.74158769136323,18.5894995421539,1.46770780006894e-32,1.52193144934927e-30,1.30248338397931e-30,"83540/4751/29899/991/163786/6491/1104/84722/3192/55143/3925/57405/10274/56992/79598/84142/10460/1062/891/64946/7272/3833/8243/24137/3619/3832/9126/29127/440145/79866/55835/9787/9493/9055/5347/9212/3837/332/7283/10403/55125/4605/22974/6790/284403/79187/29128/23636",48
"GO:0050000","GO:0050000","chromosome localization","46/778","123/18986",0.373983739837398,9.12654920893682,18.6903450750551,3.17896110277907e-32,3.20731399910115e-30,2.74484977153186e-30,"83540/4751/25936/11004/84722/3192/1063/55143/9928/57405/151648/1894/4292/84142/1062/54908/891/55166/7272/3833/113130/81930/3619/11130/983/9735/29127/221150/9787/55055/90417/57082/3835/81620/9212/10615/3837/332/79003/220134/10403/81929/81610/79980/147841/23636",46
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","67/778","287/18986",0.233449477351916,5.69700742545435,16.5736048906629,4.73085341019192e-32,4.64744099480169e-30,3.97732412740512e-30,"63967/83540/25896/51514/4998/991/1063/55143/348654/580/57405/699/51143/2177/11073/4085/84142/9319/54908/891/7272/26271/8899/23376/9656/988/2146/7465/3014/3619/11130/983/1763/144455/9735/1017/8914/221150/7517/5888/79968/701/641/55055/90381/57082/55159/5347/81620/29117/9212/332/146956/83990/91607/83903/672/990/220134/10403/5933/1869/84444/147841/51512/8318/29980",67
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","42/778","100/18986",0.42,10.2495115681234,19.1695882264613,5.40851530491191e-32,5.17691990595799e-30,4.43045720658776e-30,"83540/991/1063/55143/348654/57405/699/51143/6599/86/4085/10460/1062/9319/54908/891/7272/26271/8899/3619/11130/9735/9700/221150/7517/9787/701/55055/57082/5347/29117/9212/332/83903/996/990/220134/10403/11065/147841/6597/6598",42
"GO:0008380","GO:0008380","RNA splicing","86/778","484/18986",0.177685950413223,4.33617667679364,15.3683188116867,1.70239706226591e-31,1.58876205835966e-29,1.35967765367817e-29,"84950/8458/1660/6635/55119/4904/494115/10657/10262/5394/10772/6421/3192/58155/10236/9410/10946/6432/4691/6637/7072/220988/6434/1665/51574/23517/9879/3187/57819/8899/51645/6631/988/6428/3181/27336/27316/4841/8241/10084/5935/55796/4686/9128/3190/28960/84811/10432/3189/3178/6636/55110/55578/55147/10419/22938/3183/58517/55192/283742/23450/9785/2521/6426/10189/50628/9775/708/6427/6632/6629/10137/6628/26528/56949/5725/3276/11100/8570/6626/11338/3191/3609/4670/10212/10291",86
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","40/778","93/18986",0.43010752688172,10.4961716007408,18.9759506752257,5.06962406611172e-31,4.61583088751098e-29,3.95027189747087e-29,"83540/991/1063/55143/348654/57405/699/51143/6599/86/4085/1062/9319/54908/891/7272/26271/8899/3619/11130/9735/9700/221150/7517/9787/701/55055/57082/5347/29117/9212/332/83903/990/220134/10403/11065/147841/6597/6598",40
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","86/778","492/18986",0.17479674796748,4.2656697389596,15.170621167418,5.93368684431826e-31,5.27391737853335e-29,4.51346856453782e-29,"30836/1660/6635/128061/10969/26155/6125/10262/5394/10772/51154/80135/58155/10946/6201/6637/79954/7520/8607/83939/9045/166378/5393/54433/55646/23517/9879/4869/83732/84946/55003/88745/84154/57819/8899/6631/27336/10813/81887/8241/6839/1736/84549/6129/27161/4686/6130/23404/51116/84811/5036/6636/11340/10419/64745/3320/84916/23450/81691/55813/51096/25926/6426/51081/26574/50628/9775/708/4927/6632/6629/6628/6217/6209/83743/56949/27335/6203/2091/11338/6193/10856/10291/23481/8664/10600",86
"GO:0032392","GO:0032392","DNA geometric change","38/778","83/18986",0.457831325301205,11.1727320593428,19.1988520389045,8.61216423467929e-31,7.4765602530367e-29,6.39851124902121e-29,"1660/4175/7520/8607/5984/10721/4171/3148/55345/4172/3159/5982/4176/3181/3149/25788/9401/84296/4173/1763/1663/5985/5983/3146/57697/5888/641/64785/63922/51659/83990/7153/9837/84515/10856/2547/8318/4174",38
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","40/778","96/18986",0.416666666666667,10.1681662382177,18.6151308707867,2.32595429854213e-30,1.97336077192222e-28,1.68882088422855e-28,"83540/991/1063/55143/348654/57405/699/51143/6599/86/4085/1062/9319/54908/891/7272/26271/8899/3619/11130/9735/9700/221150/7517/9787/701/55055/57082/5347/29117/9212/332/83903/990/220134/10403/11065/147841/6597/6598",40
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","44/778","121/18986",0.363636363636364,8.87403598971722,17.9607990024706,2.91023794291238e-30,2.41420405353154e-28,2.0660987501144e-28,"83540/4751/991/1104/1063/55143/348654/57405/699/51143/4085/995/9319/54908/891/7272/26271/8899/27085/157313/3619/11130/4288/9585/9735/9700/79866/221150/10419/7517/9787/701/55055/57082/5347/9212/332/83903/220134/10403/11065/6790/147841/23636",44
"GO:0071103","GO:0071103","DNA conformation change","39/778","91/18986",0.428571428571429,10.4586852735953,18.6957115991027,3.34358837819413e-30,2.6862323240478e-28,2.29890312673173e-28,"1660/4175/7520/8607/5984/10721/7155/4171/3148/55345/4172/3159/5982/4176/3181/3149/25788/9401/84296/4173/1763/1663/5985/5983/3146/57697/5888/641/64785/63922/51659/83990/7153/9837/84515/10856/2547/8318/4174",39
"GO:0051306","GO:0051306","mitotic sister chromatid separation","34/778","65/18986",0.523076923076923,12.7649594621317,19.6398898367102,3.38207659336316e-30,2.6862323240478e-28,2.29890312673173e-28,"83540/991/1063/55143/348654/57405/699/51143/4085/9319/54908/891/7272/26271/8899/3619/11130/9735/9700/221150/7517/9787/701/55055/57082/5347/9212/332/83903/220134/10403/11065/147841/29781",34
